Nacionalidad	Tipo de jornada	Decil	Periodo	Total
Total	Jornada a tiempo completo	Total decil	2021	2.313,13
Total	Jornada a tiempo completo	1	2021	784,59
Total	Jornada a tiempo completo	2	2021	1.064,97
Total	Jornada a tiempo completo	3	2021	1.267,75
Total	Jornada a tiempo completo	4	2021	1.462,55
Total	Jornada a tiempo completo	5	2021	1.657,51
Total	Jornada a tiempo completo	6	2021	1.874,27
Total	Jornada a tiempo completo	7	2021	2.164,25
Total	Jornada a tiempo completo	8	2021	2.576,59
Total	Jornada a tiempo completo	9	2021	3.161,69
Total	Jornada a tiempo completo	10	2021	5.092,67
Española	Jornada a tiempo completo	Total decil	2021	2.396,34
Española	Jornada a tiempo completo	1	2021	785,07
Española	Jornada a tiempo completo	2	2021	1.068,68
Española	Jornada a tiempo completo	3	2021	1.266,98
Española	Jornada a tiempo completo	4	2021	1.462,17
Española	Jornada a tiempo completo	5	2021	1.657,84
Española	Jornada a tiempo completo	6	2021	1.876,02
Española	Jornada a tiempo completo	7	2021	2.162,94
Española	Jornada a tiempo completo	8	2021	2.577,68
Española	Jornada a tiempo completo	9	2021	3.162,37
Española	Jornada a tiempo completo	10	2021	5.076,59
Española y doble nacionalidad	Jornada a tiempo completo	Total decil	2021	1.945,53
Española y doble nacionalidad	Jornada a tiempo completo	1	2021	766,48
Española y doble nacionalidad	Jornada a tiempo completo	2	2021	1.058,77
Española y doble nacionalidad	Jornada a tiempo completo	3	2021	1.263,82
Española y doble nacionalidad	Jornada a tiempo completo	4	2021	1.474,72
Española y doble nacionalidad	Jornada a tiempo completo	5	2021	1.651,67
Española y doble nacionalidad	Jornada a tiempo completo	6	2021	1.870,82
Española y doble nacionalidad	Jornada a tiempo completo	7	2021	2.153,67
Española y doble nacionalidad	Jornada a tiempo completo	8	2021	2.557,25
Española y doble nacionalidad	Jornada a tiempo completo	9	2021	3.176,72
Española y doble nacionalidad	Jornada a tiempo completo	10	2021	5.384,35
Extranjera	Jornada a tiempo completo	Total decil	2021	1.821,24
Extranjera	Jornada a tiempo completo	1	2021	787,47
Extranjera	Jornada a tiempo completo	2	2021	1.055,94
Extranjera	Jornada a tiempo completo	3	2021	1.272,00
Extranjera	Jornada a tiempo completo	4	2021	1.459,90
Extranjera	Jornada a tiempo completo	5	2021	1.657,76
Extranjera	Jornada a tiempo completo	6	2021	1.860,66
Extranjera	Jornada a tiempo completo	7	2021	2.182,01
Extranjera	Jornada a tiempo completo	8	2021	2.567,51
Extranjera	Jornada a tiempo completo	9	2021	3.135,56
Extranjera	Jornada a tiempo completo	10	2021	5.219,62
