Sexo	Nivel de formación alcanzado	Nacionalidad	Periodo	Total
Ambos sexos	Total	Total	2022T3	58,86
Ambos sexos	Total	Total	2022T2	58,71
Ambos sexos	Total	Total	2022T1	58,50
Ambos sexos	Total	Total	2021T4	58,65
Ambos sexos	Total	Total	2021T3	59,14
Ambos sexos	Total	Total	2021T2	58,58
Ambos sexos	Total	Total	2021T1	57,69
Ambos sexos	Total	Total	2020T4	58,19
Ambos sexos	Total	Total	2020T3	57,83
Ambos sexos	Total	Total	2020T2	55,54
Ambos sexos	Total	Total	2020T1	58,18
Ambos sexos	Total	Total	2019T4	58,74
Ambos sexos	Total	Total	2019T3	58,72
Ambos sexos	Total	Total	2019T2	58,74
Ambos sexos	Total	Total	2019T1	58,35
Ambos sexos	Total	Total	2018T4	58,61
Ambos sexos	Total	Total	2018T3	58,73
Ambos sexos	Total	Total	2018T2	58,80
Ambos sexos	Total	Total	2018T1	58,46
Ambos sexos	Total	Total	2017T4	58,80
Ambos sexos	Total	Total	2017T3	58,92
Ambos sexos	Total	Total	2017T2	58,84
Ambos sexos	Total	Total	2017T1	58,78
Ambos sexos	Total	Total	2016T4	58,95
Ambos sexos	Total	Total	2016T3	59,28
Ambos sexos	Total	Total	2016T2	59,41
Ambos sexos	Total	Total	2016T1	59,29
Ambos sexos	Total	Total	2015T4	59,43
Ambos sexos	Total	Total	2015T3	59,50
Ambos sexos	Total	Total	2015T2	59,79
Ambos sexos	Total	Total	2015T1	59,45
Ambos sexos	Total	Total	2014T4	59,77
Ambos sexos	Total	Total	2014T3	59,53
Ambos sexos	Total	Total	2014T2	59,63
Ambos sexos	Total	Total	2014T1	59,46
Ambos sexos	Total	Española	2022T3	56,77
Ambos sexos	Total	Española	2022T2	56,56
Ambos sexos	Total	Española	2022T1	56,32
Ambos sexos	Total	Española	2021T4	56,64
Ambos sexos	Total	Española	2021T3	57,01
Ambos sexos	Total	Española	2021T2	56,41
Ambos sexos	Total	Española	2021T1	55,74
Ambos sexos	Total	Española	2020T4	55,93
Ambos sexos	Total	Española	2020T3	55,61
Ambos sexos	Total	Española	2020T2	53,73
Ambos sexos	Total	Española	2020T1	56,15
Ambos sexos	Total	Española	2019T4	56,66
Ambos sexos	Total	Española	2019T3	56,66
Ambos sexos	Total	Española	2019T2	56,66
Ambos sexos	Total	Española	2019T1	56,33
Ambos sexos	Total	Española	2018T4	56,59
Ambos sexos	Total	Española	2018T3	56,79
Ambos sexos	Total	Española	2018T2	56,77
Ambos sexos	Total	Española	2018T1	56,49
Ambos sexos	Total	Española	2017T4	56,74
Ambos sexos	Total	Española	2017T3	56,97
Ambos sexos	Total	Española	2017T2	56,90
Ambos sexos	Total	Española	2017T1	56,87
Ambos sexos	Total	Española	2016T4	57,09
Ambos sexos	Total	Española	2016T3	57,38
Ambos sexos	Total	Española	2016T2	57,41
Ambos sexos	Total	Española	2016T1	57,31
Ambos sexos	Total	Española	2015T4	57,49
Ambos sexos	Total	Española	2015T3	57,55
Ambos sexos	Total	Española	2015T2	57,83
Ambos sexos	Total	Española	2015T1	57,55
Ambos sexos	Total	Española	2014T4	57,89
Ambos sexos	Total	Española	2014T3	57,66
Ambos sexos	Total	Española	2014T2	57,70
Ambos sexos	Total	Española	2014T1	57,51
Ambos sexos	Total	Doble nacionalidad	2022T3	75,97
Ambos sexos	Total	Doble nacionalidad	2022T2	75,46
Ambos sexos	Total	Doble nacionalidad	2022T1	76,34
Ambos sexos	Total	Doble nacionalidad	2021T4	75,44
Ambos sexos	Total	Doble nacionalidad	2021T3	77,28
Ambos sexos	Total	Doble nacionalidad	2021T2	75,38
Ambos sexos	Total	Doble nacionalidad	2021T1	72,97
Ambos sexos	Total	Doble nacionalidad	2020T4	75,89
Ambos sexos	Total	Doble nacionalidad	2020T3	75,17
Ambos sexos	Total	Doble nacionalidad	2020T2	70,55
Ambos sexos	Total	Doble nacionalidad	2020T1	72,53
Ambos sexos	Total	Doble nacionalidad	2019T4	73,42
Ambos sexos	Total	Doble nacionalidad	2019T3	75,62
Ambos sexos	Total	Doble nacionalidad	2019T2	74,30
Ambos sexos	Total	Doble nacionalidad	2019T1	74,69
Ambos sexos	Total	Doble nacionalidad	2018T4	74,78
Ambos sexos	Total	Doble nacionalidad	2018T3	76,02
Ambos sexos	Total	Doble nacionalidad	2018T2	75,22
Ambos sexos	Total	Doble nacionalidad	2018T1	75,12
Ambos sexos	Total	Doble nacionalidad	2017T4	75,66
Ambos sexos	Total	Doble nacionalidad	2017T3	75,50
Ambos sexos	Total	Doble nacionalidad	2017T2	74,89
Ambos sexos	Total	Doble nacionalidad	2017T1	74,32
Ambos sexos	Total	Doble nacionalidad	2016T4	75,24
Ambos sexos	Total	Doble nacionalidad	2016T3	76,87
Ambos sexos	Total	Doble nacionalidad	2016T2	76,44
Ambos sexos	Total	Doble nacionalidad	2016T1	75,35
Ambos sexos	Total	Doble nacionalidad	2015T4	76,05
Ambos sexos	Total	Doble nacionalidad	2015T3	76,29
Ambos sexos	Total	Doble nacionalidad	2015T2	76,56
Ambos sexos	Total	Doble nacionalidad	2015T1	74,52
Ambos sexos	Total	Doble nacionalidad	2014T4	74,72
Ambos sexos	Total	Doble nacionalidad	2014T3	76,11
Ambos sexos	Total	Doble nacionalidad	2014T2	75,76
Ambos sexos	Total	Doble nacionalidad	2014T1	75,70
Ambos sexos	Total	Extranjera: Total	2022T3	69,06
Ambos sexos	Total	Extranjera: Total	2022T2	69,92
Ambos sexos	Total	Extranjera: Total	2022T1	69,76
Ambos sexos	Total	Extranjera: Total	2021T4	69,30
Ambos sexos	Total	Extranjera: Total	2021T3	70,21
Ambos sexos	Total	Extranjera: Total	2021T2	70,42
Ambos sexos	Total	Extranjera: Total	2021T1	68,18
Ambos sexos	Total	Extranjera: Total	2020T4	70,53
Ambos sexos	Total	Extranjera: Total	2020T3	69,96
Ambos sexos	Total	Extranjera: Total	2020T2	65,35
Ambos sexos	Total	Extranjera: Total	2020T1	69,97
Ambos sexos	Total	Extranjera: Total	2019T4	71,21
Ambos sexos	Total	Extranjera: Total	2019T3	70,84
Ambos sexos	Total	Extranjera: Total	2019T2	71,83
Ambos sexos	Total	Extranjera: Total	2019T1	71,07
Ambos sexos	Total	Extranjera: Total	2018T4	71,55
Ambos sexos	Total	Extranjera: Total	2018T3	71,02
Ambos sexos	Total	Extranjera: Total	2018T2	72,30
Ambos sexos	Total	Extranjera: Total	2018T1	71,81
Ambos sexos	Total	Extranjera: Total	2017T4	73,19
Ambos sexos	Total	Extranjera: Total	2017T3	72,53
Ambos sexos	Total	Extranjera: Total	2017T2	72,60
Ambos sexos	Total	Extranjera: Total	2017T1	72,50
Ambos sexos	Total	Extranjera: Total	2016T4	71,94
Ambos sexos	Total	Extranjera: Total	2016T3	72,23
Ambos sexos	Total	Extranjera: Total	2016T2	73,54
